function_id,safety_class,reason
DBI::ANSI,safe,Read-only DBI helper
DBI::Id,safe,Read-only DBI helper
DBI::SQL,safe,Read-only DBI helper
DBI::SQLKeywords,safe,Read-only DBI helper
DBI::dbAppendTable,unsafe,Writes or mutates database state
DBI::dbBegin,callable_with_caveats,Validated DBI workflow with stateful connection handling
DBI::dbCanConnect,safe,Read-only DBI helper
DBI::dbClearResult,callable_with_caveats,Validated DBI workflow with stateful connection handling
DBI::dbColumnInfo,safe,Read-only DBI helper
DBI::dbCommit,callable_with_caveats,Validated DBI workflow with stateful connection handling
DBI::dbConnect,callable_with_caveats,Opens database connection — resource management caveat
DBI::dbCreateTable,unsafe,Creates table in database
DBI::dbDataType,safe,Read-only DBI helper
DBI::dbDisconnect,safe,Closes database connection
DBI::dbExecute,unsafe,Writes or mutates database state
DBI::dbExistsTable,safe,Read-only DBI helper
DBI::dbFetch,callable_with_caveats,Streaming DB read helper
DBI::dbGetConnectArgs,safe,Read-only DBI helper
DBI::dbGetException,safe,Read-only DBI helper
DBI::dbGetInfo,safe,Read-only DBI helper
DBI::dbGetQuery,safe,Pure read query — returns data frame
DBI::dbGetRowCount,safe,Read-only DBI helper
DBI::dbGetRowsAffected,safe,Read-only DBI helper
DBI::dbHasCompleted,safe,Read-only DBI helper
DBI::dbIsReadOnly,safe,Read-only DBI helper
DBI::dbIsValid,safe,Read-only DBI helper
DBI::dbListFields,safe,Read-only DBI helper
DBI::dbListObjects,safe,Read-only DBI helper
DBI::dbListResults,safe,Read-only DBI helper
DBI::dbListTables,safe,Lists table names — read only
DBI::dbQuoteIdentifier,safe,Read-only DBI helper
DBI::dbQuoteLiteral,safe,Read-only DBI helper
DBI::dbQuoteString,safe,Read-only DBI helper
DBI::dbReadTable,safe,Reads entire table — returns data frame
DBI::dbRemoveTable,unsafe,Removes table from database
DBI::dbRollback,callable_with_caveats,Validated DBI workflow with stateful connection handling
DBI::dbSendQuery,callable_with_caveats,Sends arbitrary SQL — may modify data
DBI::dbWriteTable,unsafe,Writes data to database — modifies external state
MASS::boxcox,safe,Pure computation
MASS::glm.nb,safe,Pure computation
MASS::lm.ridge,safe,Pure computation
MASS::polr,safe,Pure computation
MASS::rlm,safe,Pure computation
MASS::stepAIC,safe,Model selection
RSQLite::Id,safe,Read-only SQLite helper
RSQLite::SQLKeywords,safe,Read-only SQLite helper
RSQLite::SQLite,safe,Creates SQLite driver object — no side effects
RSQLite::dbAppendTable,unsafe,Writes or mutates database state
RSQLite::dbBegin,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbBeginTransaction,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbCanConnect,safe,Read-only SQLite helper
RSQLite::dbClearResult,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbColumnInfo,safe,Read-only SQLite helper
RSQLite::dbCommit,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbConnect,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbCreateTable,unsafe,Writes or mutates database state
RSQLite::dbDataType,safe,Read-only SQLite helper
RSQLite::dbDisconnect,safe,Read-only SQLite helper
RSQLite::dbExecute,unsafe,Writes or mutates database state
RSQLite::dbExistsTable,safe,Read-only SQLite helper
RSQLite::dbFetch,callable_with_caveats,Streaming SQLite read helper
RSQLite::dbGetInfo,safe,Read-only SQLite helper
RSQLite::dbGetQuery,safe,Read-only SQLite helper
RSQLite::dbIsReadOnly,safe,Read-only SQLite helper
RSQLite::dbIsValid,safe,Read-only SQLite helper
RSQLite::dbListFields,safe,Read-only SQLite helper
RSQLite::dbListTables,safe,Read-only SQLite helper
RSQLite::dbQuoteIdentifier,safe,Read-only SQLite helper
RSQLite::dbQuoteString,safe,Read-only SQLite helper
RSQLite::dbReadTable,safe,Read-only SQLite helper
RSQLite::dbRemoveTable,unsafe,Writes or mutates database state
RSQLite::dbRollback,callable_with_caveats,Validated SQLite workflow with stateful connection handling
RSQLite::dbSendQuery,callable_with_caveats,Validated SQLite workflow with stateful connection handling
base::Filter,safe,Pure computation
base::Map,safe,Pure computation
base::NCOL,safe,Linear algebra primitive
base::NROW,safe,Linear algebra primitive
base::Negate,callable_with_caveats,Higher-order function or reflection helper - purity depends on callback
base::Reduce,safe,Pure computation
base::abs,safe,Pure computation
base::acos,safe,Pure math computation
base::all,safe,Pure vector operation
base::all.equal,safe,Pure computation
base::any,safe,Pure vector operation
base::apply,safe,Pure computation
base::array,safe,Linear algebra primitive
base::as.character,safe,Pure computation
base::as.data.frame,safe,Pure computation
base::as.double,safe,Pure type coercion
base::as.factor,safe,Pure computation
base::as.integer,safe,Pure computation
base::as.list,safe,Pure type coercion
base::as.logical,safe,Pure computation
base::as.matrix,safe,Pure type coercion
base::as.numeric,safe,Pure computation
base::as.vector,safe,Pure type coercion
base::asin,safe,Pure math computation
base::atan,safe,Pure math computation
base::atan2,safe,Pure math computation
base::beta,safe,Pure math computation
base::by,callable_with_caveats,Higher-order function or reflection helper - purity depends on callback
base::c,safe,Pure computation
base::cat,safe,Pure output
base::cbind,safe,Pure computation
base::ceiling,safe,Pure computation
base::chol,safe,Pure computation
base::choose,safe,Pure math computation
base::class,safe,Pure computation
base::colMeans,safe,Pure vector operation
base::colSums,safe,Pure vector operation
base::colnames,safe,Pure computation
base::cos,safe,Pure math computation
base::cosh,safe,Pure math computation
base::crossprod,safe,Pure computation
base::cummax,safe,Pure computation
base::cummin,safe,Pure computation
base::cumprod,safe,Pure computation
base::cumsum,safe,Pure computation
base::data.frame,safe,Pure computation
base::data.matrix,safe,Pure conversion of data frame to matrix
base::det,safe,Pure computation
base::diag,safe,Pure computation
base::diff,safe,Pure computation
base::digamma,safe,Pure math computation
base::dim,safe,Pure computation
base::do.call,callable_with_caveats,Higher-order function or reflection helper - purity depends on callback
base::duplicated,safe,Pure computation
base::eigen,safe,Pure computation
base::exp,safe,Pure computation
base::expm1,safe,Pure math computation
base::factor,safe,Pure computation
base::factorial,safe,Pure math computation
base::floor,safe,Pure computation
base::gamma,safe,Pure math computation
base::grep,safe,Pure computation
base::grepl,safe,Pure computation
base::gsub,safe,Pure computation
base::identical,safe,Pure computation
base::identity,safe,Higher-order function or reflection helper - purity depends on callback
base::intersect,safe,Pure vector operation
base::is.character,safe,Pure computation
base::is.data.frame,safe,Read-only type predicate
base::is.double,safe,Read-only type predicate
base::is.element,safe,Pure vector operation
base::is.factor,safe,Read-only type predicate
base::is.finite,safe,Read-only type predicate
base::is.infinite,safe,Read-only type predicate
base::is.integer,safe,Read-only type predicate
base::is.list,safe,Read-only type predicate
base::is.logical,safe,Read-only type predicate
base::is.matrix,safe,Read-only type predicate
base::is.na,safe,Pure computation
base::is.nan,safe,Read-only type predicate
base::is.null,safe,Pure computation
base::is.numeric,safe,Pure computation
base::is.vector,safe,Read-only type predicate
base::isFALSE,safe,Pure vector operation
base::isTRUE,safe,Pure vector operation
base::lapply,safe,Pure computation
base::lbeta,safe,Pure math computation
base::length,safe,Pure computation
base::levels,safe,Pure computation
base::lgamma,safe,Pure math computation
base::list,safe,Pure computation
base::log,safe,Pure computation
base::log10,safe,Pure computation
base::log1p,safe,Pure math computation
base::log2,safe,Pure computation
base::mapply,safe,Pure computation
base::match.arg,safe,Higher-order function or reflection helper - purity depends on callback
base::match.call,safe,Higher-order function or reflection helper - purity depends on callback
base::matrix,safe,Linear algebra primitive
base::max,safe,Pure computation
base::mean,safe,Pure computation
base::merge,safe,Pure computation
base::min,safe,Pure computation
base::names,safe,Pure computation
base::nchar,safe,Pure computation
base::ncol,safe,Pure computation
base::nrow,safe,Pure computation
base::order,safe,Pure computation
base::outer,safe,Pure computation
base::paste,safe,Pure computation
base::paste0,safe,Pure computation
base::pmax,safe,Pure math computation
base::pmin,safe,Pure math computation
base::print,safe,Pure output
base::prod,safe,Pure math computation
base::qr,safe,Pure computation
base::range,safe,Pure computation
base::rank,safe,Pure vector operation
base::rbind,safe,Pure computation
base::rep,safe,Pure computation
base::rep_len,safe,Pure vector operation
base::rev,safe,Pure vector operation
base::round,safe,Pure computation
base::rowMeans,safe,Pure vector operation
base::rowSums,safe,Pure vector operation
base::rownames,safe,Pure computation
base::sample,safe,Pure computation (uses RNG but no side effects)
base::sapply,safe,Pure computation
base::seq,safe,Pure computation
base::seq_along,safe,Pure vector operation
base::seq_len,safe,Pure vector operation
base::set.seed,callable_with_caveats,Modifies RNG state
base::setdiff,safe,Pure vector operation
base::sign,safe,Pure math computation
base::signif,safe,Pure math computation
base::sin,safe,Pure math computation
base::sinh,safe,Pure math computation
base::solve,safe,Pure computation
base::sort,safe,Pure computation
base::sprintf,safe,Pure computation
base::sqrt,safe,Pure computation
base::sub,safe,Pure computation
base::subset,safe,Pure computation
base::sum,safe,Pure computation
base::summary,safe,Pure computation
base::svd,safe,Pure computation
base::t,safe,Pure computation
base::table,safe,Pure computation
base::tan,safe,Pure math computation
base::tanh,safe,Pure math computation
base::tapply,safe,Pure computation
base::tcrossprod,safe,Pure computation
base::tolower,safe,Pure computation
base::toupper,safe,Pure computation
base::transform,safe,Pure computation
base::trimws,safe,Pure computation
base::trunc,safe,Pure math computation
base::typeof,safe,Pure computation
base::union,safe,Pure vector operation
base::unique,safe,Pure computation
base::vapply,safe,Pure computation
base::which,safe,Pure computation
base::which.max,safe,Pure computation
base::which.min,safe,Pure computation
base::with,safe,Pure computation
base::within,safe,Pure computation
base::xor,safe,Pure vector operation
bayestestR::area_under_curve,safe,Pure Bayesian summary helper
bayestestR::auc,safe,Pure Bayesian summary helper
bayestestR::bayesfactor,safe,Pure computation — Bayes factor model comparison
bayestestR::bayesfactor_inclusion,safe,Pure Bayesian summary helper
bayestestR::bayesfactor_models,safe,Pure computation — Bayes factor for model comparison
bayestestR::bayesfactor_parameters,safe,Pure Bayesian summary helper
bayestestR::bayesfactor_pointnull,safe,Pure Bayesian summary helper
bayestestR::bayesfactor_restricted,safe,Pure Bayesian summary helper
bayestestR::bayesfactor_rope,safe,Pure Bayesian summary helper
bayestestR::bayesian_as_frequentist,safe,Pure Bayesian summary helper
bayestestR::bcai,safe,Pure Bayesian summary helper
bayestestR::bci,safe,Pure Bayesian summary helper
bayestestR::bf_inclusion,safe,Pure Bayesian summary helper
bayestestR::bf_models,safe,Pure Bayesian summary helper
bayestestR::bf_parameters,safe,Pure computation — Bayes factors for individual parameters
bayestestR::bf_pointnull,safe,Pure Bayesian summary helper
bayestestR::bf_restricted,safe,Pure Bayesian summary helper
bayestestR::bf_rope,safe,Pure Bayesian summary helper
bayestestR::bic_to_bf,safe,Pure Bayesian summary helper
bayestestR::check_prior,safe,Pure Bayesian summary helper
bayestestR::ci,safe,Pure Bayesian summary helper
bayestestR::contr.bayes,safe,Pure Bayesian summary helper
bayestestR::contr.equalprior,safe,Pure Bayesian summary helper
bayestestR::contr.equalprior_deviations,safe,Pure Bayesian summary helper
bayestestR::contr.equalprior_pairs,safe,Pure Bayesian summary helper
bayestestR::contr.orthonorm,safe,Pure Bayesian summary helper
bayestestR::convert_bayesian_as_frequentist,safe,Pure Bayesian summary helper
bayestestR::convert_p_to_pd,safe,Pure Bayesian summary helper
bayestestR::convert_pd_to_p,safe,Pure Bayesian summary helper
bayestestR::density_at,safe,Pure Bayesian summary helper
bayestestR::describe_posterior,safe,"Pure computation — posterior summary statistics (mean, SD, HDI, ROPE)"
bayestestR::describe_prior,safe,Pure Bayesian summary helper
bayestestR::diagnostic_draws,safe,Pure Bayesian summary helper
bayestestR::diagnostic_posterior,safe,Pure Bayesian summary helper
bayestestR::display,safe,Pure Bayesian summary helper
bayestestR::distribution,safe,Pure Bayesian summary helper
bayestestR::distribution_beta,safe,Pure Bayesian summary helper
bayestestR::distribution_binom,safe,Pure Bayesian summary helper
bayestestR::distribution_binomial,safe,Pure Bayesian summary helper
bayestestR::distribution_cauchy,safe,Pure Bayesian summary helper
bayestestR::distribution_chisq,safe,Pure Bayesian summary helper
bayestestR::distribution_chisquared,safe,Pure Bayesian summary helper
bayestestR::distribution_custom,safe,Pure Bayesian summary helper
bayestestR::distribution_gamma,safe,Pure Bayesian summary helper
bayestestR::distribution_gaussian,safe,Pure Bayesian summary helper
bayestestR::distribution_mixture_normal,safe,Pure Bayesian summary helper
bayestestR::distribution_nbinom,safe,Pure Bayesian summary helper
bayestestR::distribution_normal,safe,Pure Bayesian summary helper
bayestestR::distribution_poisson,safe,Pure Bayesian summary helper
bayestestR::distribution_student,safe,Pure Bayesian summary helper
bayestestR::distribution_student_t,safe,Pure Bayesian summary helper
bayestestR::distribution_t,safe,Pure Bayesian summary helper
bayestestR::distribution_tweedie,safe,Pure Bayesian summary helper
bayestestR::distribution_uniform,safe,Pure Bayesian summary helper
bayestestR::effective_sample,safe,Pure Bayesian summary helper
bayestestR::equivalence_test,safe,Pure computation — equivalence test against ROPE
bayestestR::estimate_density,safe,Pure Bayesian summary helper
bayestestR::eti,safe,Pure Bayesian summary helper
bayestestR::hdi,safe,Pure computation — highest density interval from posterior
bayestestR::map_estimate,safe,Pure computation — maximum a posteriori estimate of posterior
bayestestR::mcse,safe,Pure Bayesian summary helper
bayestestR::mediation,safe,Pure Bayesian summary helper
bayestestR::model_to_priors,safe,Pure Bayesian summary helper
bayestestR::overlap,safe,Pure Bayesian summary helper
bayestestR::p_direction,safe,Pure computation — probability of direction for posterior
bayestestR::p_map,safe,Pure Bayesian summary helper
bayestestR::p_pointnull,safe,Pure Bayesian summary helper
bayestestR::p_rope,safe,Pure Bayesian summary helper
bayestestR::p_significance,safe,Pure Bayesian summary helper
bayestestR::p_to_bf,safe,Pure Bayesian summary helper
bayestestR::p_to_pd,safe,Pure Bayesian summary helper
bayestestR::pd,safe,Pure Bayesian summary helper
bayestestR::pd_to_p,safe,Pure Bayesian summary helper
bayestestR::point_estimate,safe,Pure Bayesian summary helper
bayestestR::print_html,safe,Pure Bayesian summary helper
bayestestR::print_md,safe,Pure Bayesian summary helper
bayestestR::reshape_draws,safe,Pure Bayesian summary helper
bayestestR::reshape_iterations,safe,Pure Bayesian summary helper
bayestestR::rope,safe,Pure computation — region of practical equivalence test
bayestestR::rope_range,safe,Pure Bayesian summary helper
bayestestR::sensitivity_to_prior,safe,Pure Bayesian summary helper
bayestestR::sexit,safe,Pure Bayesian summary helper
bayestestR::sexit_thresholds,safe,Pure Bayesian summary helper
bayestestR::si,safe,Pure Bayesian summary helper
bayestestR::simulate_correlation,safe,Pure Bayesian summary helper
bayestestR::simulate_difference,safe,Pure Bayesian summary helper
bayestestR::simulate_prior,safe,Pure Bayesian summary helper
bayestestR::simulate_simpson,safe,Pure Bayesian summary helper
bayestestR::simulate_ttest,safe,Pure Bayesian summary helper
bayestestR::spi,safe,Pure Bayesian summary helper
bayestestR::unupdate,safe,Pure Bayesian summary helper
bayestestR::weighted_posteriors,safe,Pure Bayesian summary helper
boot::boot,safe,Pure computation (resampling)
boot::boot.ci,safe,Pure computation
brms::brm,callable_with_caveats,Compiles and runs Stan MCMC (RNG; slow; writes Stan temp files)
brms::conditional_effects,callable_with_caveats,Generates conditional effects plot (graphics side effect on print)
brms::hypothesis,safe,Pure computation — tests hypotheses on posterior draws
brms::make_stancode,safe,Pure computation — generates Stan code without running model
brms::make_standata,safe,Pure computation — prepares Stan data list without running model
brms::pp_check,callable_with_caveats,Generates posterior predictive check plot (graphics side effect)
brms::prior,safe,Pure computation — constructs prior specification object
broom::augment,safe,Pure computation — adds fitted values and residuals to data
broom::glance,safe,Pure computation — extracts model-level summary statistics
broom::tidy,safe,Pure computation — formats model output as tibble
car::Anova,safe,Pure computation
car::boxCox,safe,Pure statistical test or diagnostic
car::deltaMethod,safe,Pure statistical test or diagnostic
car::durbinWatsonTest,safe,Pure computation
car::leveneTest,safe,Pure computation
car::linearHypothesis,safe,Pure computation
car::ncvTest,safe,Pure statistical test or diagnostic
car::outlierTest,safe,Pure statistical test or diagnostic
car::powerTransform,safe,Pure statistical test or diagnostic
car::vif,safe,Pure computation
caret::confusionMatrix,safe,Pure computation
caret::createDataPartition,safe,Uses RNG but no side effects
caret::preProcess,safe,Pure computation
caret::train,safe,Pure computation (may be slow)
caret::trainControl,safe,Configuration
caret::varImp,safe,Pure computation
class::knn,safe,Pure computation — k-nearest neighbors classification
cluster::agnes,safe,Pure computation
cluster::clara,safe,Pure computation
cluster::diana,safe,Pure computation
cluster::pam,safe,Pure computation
cluster::silhouette,safe,Pure computation
data.table::%between%,safe,Pure in-memory data.table helper
data.table::%chin%,safe,Pure in-memory data.table helper
data.table::%flike%,safe,Pure in-memory data.table helper
data.table::%ilike%,safe,Pure in-memory data.table helper
data.table::%inrange%,safe,Pure in-memory data.table helper
data.table::%like%,safe,Pure in-memory data.table helper
data.table::%notin%,safe,Pure in-memory data.table helper
data.table::%plike%,safe,Pure in-memory data.table helper
data.table::CJ,safe,Pure in-memory data.table helper
data.table::SJ,safe,Pure in-memory data.table helper
data.table::as.data.table,safe,Pure in-memory data.table helper
data.table::between,safe,Pure in-memory data.table helper
data.table::chmatch,safe,Pure in-memory data.table helper
data.table::chorder,safe,Pure in-memory data.table helper
data.table::copy,safe,Pure in-memory data.table helper
data.table::data.table,safe,Pure in-memory data.table helper
data.table::fcase,safe,Pure in-memory data.table helper
data.table::fcoalesce,safe,Pure in-memory data.table helper
data.table::fifelse,safe,Pure in-memory data.table helper
data.table::first,safe,Pure in-memory data.table helper
data.table::frank,safe,Pure in-memory data.table helper
data.table::frankv,safe,Pure in-memory data.table helper
data.table::fread,safe,File read only
data.table::fwrite,unsafe,File write
data.table::haskey,safe,Pure data.table accessor / transform
data.table::indices,safe,Pure data.table accessor / transform
data.table::is.data.table,safe,Pure data.table accessor / transform
data.table::key,safe,Pure data.table accessor / transform
data.table::last,safe,Pure in-memory data.table helper
data.table::like,safe,Pure in-memory data.table helper
data.table::patterns,safe,Pure in-memory data.table helper
data.table::rbindlist,safe,Pure in-memory data.table helper
data.table::rleid,safe,Pure in-memory data.table helper
data.table::rleidv,safe,Pure in-memory data.table helper
data.table::rowid,safe,Pure in-memory data.table helper
data.table::rowidv,safe,Pure in-memory data.table helper
data.table::setDTthreads,safe,Pure in-memory data.table helper
data.table::shift,safe,Pure in-memory data.table helper
data.table::tables,safe,Pure data.table accessor / transform
data.table::transpose,safe,Pure in-memory data.table helper
data.table::uniqueN,safe,Pure in-memory data.table helper
datawizard::data_filter,callable_with_caveats,Uses NSE for row filtering; otherwise pure computation
datawizard::data_rename,safe,Pure computation — renames columns by old/new name pairs
datawizard::data_select,callable_with_caveats,Uses NSE for column selection; otherwise pure computation
datawizard::data_to_long,safe,Pure computation — pivots data to long format
datawizard::data_to_wide,safe,Pure computation — pivots data to wide format
datawizard::describe_distribution,safe,Pure computation — descriptive statistics for numeric variable
datawizard::normalize,safe,Pure computation — 0-1 normalization of numeric columns
datawizard::rescale,safe,Pure computation — rescales numeric variable to new range
datawizard::standardize,safe,Pure computation — z-score standardization of numeric columns
dplyr::across,callable_with_caveats,Uses NSE
dplyr::all_of,safe,Pure column selector or row helper
dplyr::anti_join,safe,Pure computation
dplyr::any_of,safe,Pure column selector or row helper
dplyr::arrange,callable_with_caveats,Uses NSE
dplyr::between,safe,Pure computation
dplyr::bind_cols,safe,Pure computation
dplyr::bind_rows,safe,Pure computation
dplyr::case_when,safe,Pure computation
dplyr::coalesce,safe,Pure computation
dplyr::contains,safe,Tidy select helper
dplyr::count,callable_with_caveats,Uses NSE
dplyr::cume_dist,safe,Pure column selector or row helper
dplyr::dense_rank,safe,Pure column selector or row helper
dplyr::distinct,callable_with_caveats,Uses NSE
dplyr::ends_with,safe,Tidy select helper
dplyr::everything,safe,Tidy select helper
dplyr::filter,callable_with_caveats,Uses NSE (non-standard evaluation)
dplyr::first,safe,Pure column selector or row helper
dplyr::full_join,safe,Pure computation
dplyr::group_by,callable_with_caveats,Uses NSE
dplyr::if_else,safe,Pure computation
dplyr::inner_join,safe,Pure computation
dplyr::lag,safe,Pure computation
dplyr::last,safe,Pure column selector or row helper
dplyr::last_col,safe,Pure column selector or row helper
dplyr::lead,safe,Pure computation
dplyr::left_join,safe,Pure computation
dplyr::matches,safe,Tidy select helper
dplyr::min_rank,safe,Pure column selector or row helper
dplyr::mutate,callable_with_caveats,Uses NSE
dplyr::n,safe,Pure computation
dplyr::n_distinct,safe,Pure computation
dplyr::near,safe,Pure column selector or row helper
dplyr::nth,safe,Pure column selector or row helper
dplyr::ntile,safe,Pure column selector or row helper
dplyr::num_range,safe,Pure column selector or row helper
dplyr::percent_rank,safe,Pure column selector or row helper
dplyr::pull,callable_with_caveats,Uses NSE
dplyr::relocate,callable_with_caveats,Uses NSE
dplyr::rename,callable_with_caveats,Uses NSE
dplyr::right_join,safe,Pure computation
dplyr::row_number,safe,Pure column selector or row helper
dplyr::select,callable_with_caveats,Uses NSE
dplyr::semi_join,safe,Pure computation
dplyr::slice,callable_with_caveats,Uses NSE
dplyr::slice_head,safe,Pure computation
dplyr::slice_max,callable_with_caveats,Uses NSE
dplyr::slice_min,callable_with_caveats,Uses NSE
dplyr::slice_sample,safe,Uses RNG but no side effects
dplyr::slice_tail,safe,Pure computation
dplyr::starts_with,safe,Tidy select helper
dplyr::summarise,callable_with_caveats,Uses NSE
dplyr::summarize,callable_with_caveats,Uses NSE
dplyr::tally,safe,Pure computation
dplyr::ungroup,safe,Pure computation
dplyr::where,callable_with_caveats,Uses NSE
e1071::best.svm,callable_with_caveats,Validated ML workflow; model fitting can be expensive
e1071::best.tune,callable_with_caveats,Validated ML workflow; model fitting can be expensive
e1071::classAgreement,safe,Pure ML summary helper
e1071::gknn,callable_with_caveats,Validated ML workflow; model fitting can be expensive
e1071::kurtosis,safe,Pure computation — computes kurtosis of numeric vector
e1071::naiveBayes,safe,Pure computation — fits Naive Bayes classifier
e1071::skewness,safe,Pure computation — computes skewness of numeric vector
e1071::svm,safe,Pure computation — fits support vector machine model
e1071::tune,callable_with_caveats,Performs cross-validation grid search; may be slow and uses RNG
e1071::tune.control,safe,Pure ML summary helper
e1071::tune.svm,callable_with_caveats,Performs SVM-specific cross-validation grid search; slow and uses RNG
effectsize::F_to_d,safe,Pure effect size computation
effectsize::F_to_epsilon2,safe,Pure effect size computation
effectsize::F_to_eta2,safe,Pure effect size computation
effectsize::F_to_eta2_adj,safe,Pure effect size computation
effectsize::F_to_f,safe,Pure effect size computation
effectsize::F_to_f2,safe,Pure effect size computation
effectsize::F_to_omega2,safe,Pure effect size computation
effectsize::F_to_r,safe,Pure effect size computation
effectsize::arr,safe,Pure effect size computation
effectsize::arr_to_logoddsratio,safe,Pure effect size computation
effectsize::arr_to_nnt,safe,Pure effect size computation
effectsize::arr_to_oddsratio,safe,Pure effect size computation
effectsize::arr_to_riskratio,safe,Pure effect size computation
effectsize::c_to_w,safe,Pure effect size computation
effectsize::chisq_to_cohens_w,safe,Pure effect size computation
effectsize::chisq_to_cramers_v,safe,Pure effect size computation
effectsize::chisq_to_fei,safe,Pure effect size computation
effectsize::chisq_to_pearsons_c,safe,Pure effect size computation
effectsize::chisq_to_phi,safe,Pure effect size computation
effectsize::chisq_to_tschuprows_t,safe,Pure effect size computation
effectsize::cliffs_delta,safe,Pure effect size computation
effectsize::cohens_d,safe,Pure computation — Cohen's d effect size for mean difference
effectsize::cohens_f,safe,Pure computation — Cohen's f effect size
effectsize::cohens_f_squared,safe,Pure effect size computation
effectsize::cohens_g,safe,Pure effect size computation
effectsize::cohens_h,safe,Pure effect size computation
effectsize::cohens_u1,safe,Pure effect size computation
effectsize::cohens_u2,safe,Pure effect size computation
effectsize::cohens_u3,safe,Pure effect size computation
effectsize::cohens_w,safe,Pure effect size computation
effectsize::cov_pooled,safe,Pure effect size computation
effectsize::cramers_v,safe,Pure computation — Cramer's V for contingency tables
effectsize::d_to_logoddsratio,safe,Pure effect size computation
effectsize::d_to_oddsratio,safe,Pure effect size computation
effectsize::d_to_overlap,safe,Pure effect size computation
effectsize::d_to_p_superiority,safe,Pure effect size computation
effectsize::d_to_r,safe,Pure effect size computation
effectsize::d_to_u1,safe,Pure effect size computation
effectsize::d_to_u2,safe,Pure effect size computation
effectsize::d_to_u3,safe,Pure effect size computation
effectsize::display,safe,Pure effect size computation
effectsize::effectsize,safe,Pure effect size computation
effectsize::epsilon_squared,safe,Pure effect size computation
effectsize::equivalence_test,safe,Pure effect size computation
effectsize::eta2_to_f,safe,Pure effect size computation
effectsize::eta2_to_f2,safe,Pure effect size computation
effectsize::eta_squared,safe,Pure computation — eta-squared effect size for ANOVA
effectsize::eta_squared_posterior,safe,Pure effect size computation
effectsize::f2_to_eta2,safe,Pure effect size computation
effectsize::f_to_eta2,safe,Pure effect size computation
effectsize::fei,safe,Pure effect size computation
effectsize::fei_to_w,safe,Pure effect size computation
effectsize::format_standardize,safe,Pure effect size computation
effectsize::get_effectsize_label,safe,Pure effect size computation
effectsize::get_effectsize_name,safe,Pure effect size computation
effectsize::glass_delta,safe,Pure effect size computation
effectsize::hedges_g,safe,Pure effect size computation
effectsize::interpret,safe,Pure effect size computation
effectsize::interpret_agfi,safe,Pure effect size computation
effectsize::interpret_bf,safe,Pure effect size computation
effectsize::interpret_cfi,safe,Pure effect size computation
effectsize::interpret_cohens_d,safe,Pure effect size computation
effectsize::interpret_cohens_g,safe,Pure effect size computation
effectsize::interpret_cramers_v,safe,Pure effect size computation
effectsize::interpret_direction,safe,Pure effect size computation
effectsize::interpret_epsilon_squared,safe,Pure effect size computation
effectsize::interpret_ess,safe,Pure effect size computation
effectsize::interpret_eta_squared,safe,Pure effect size computation
effectsize::interpret_fei,safe,Pure effect size computation
effectsize::interpret_gfi,safe,Pure effect size computation
effectsize::interpret_glass_delta,safe,Pure effect size computation
effectsize::interpret_hedges_g,safe,Pure effect size computation
